id    experience married wage         industry                        
00001 1          no      1.197540205  Business_and_Repair_Service     
00002 2          no      1.853059995  Personal_Service                
00003 3          no      1.344461678  Business_and_Repair_Service     
00004 4          no      1.433213336  Business_and_Repair_Service     
00005 5          no      1.56812508   Personal_Service                
00006 6          no      1.699890942  Business_and_Repair_Service     
00007 7          no      -0.720262576 Business_and_Repair_Service     
00008 8          no      1.669187917  Business_and_Repair_Service     
00009 4          no      1.675962404  Trade                           
00010 5          no      1.518398202  Trade                           
00011 6          no      1.559190477  Trade                           
00012 7          no      1.725410089  Trade                           
00013 8          no      1.622022321  Trade                           
00014 9          no      1.608588274  Construction                    
00015 10         no      1.572385414  Construction                    
00016 11         no      1.820333856  Construction                    
00017 4          yes     1.515962749  Trade                           
00018 5          yes     1.735379136  Trade                           
00019 6          yes     1.63174367   Manufacturing                   
00020 7          yes     1.998228811  Trade                           
00026 3          no      1.471159283  Transportation                  
00027 4          no      1.473497492  Manufacturing                   
00028 5          no      1.740914275  Manufacturing                   
00029 6          no      1.823213714  Business_and_Repair_Service     
00030 7          no      1.908272857  Manufacturing                   
00031 8          no      1.742447363  Transportation                  
00032 9          yes     2.135688916  Construction                    
00033 5          no      1.948774855  Professional_and_Related_Service
00034 6          no      1.962259287  Professional_and_Related_Service
00035 7          no      1.963296825  Professional_and_Related_Service
00036 8          no      2.202515633  Professional_and_Related_Service
00037 9          yes     2.134954252  Trade                           
00038 10         yes     2.12582282   Business_and_Repair_Service     
00039 11         yes     1.991016671  Finance                         
00040 12         yes     2.112393353  Finance                         
00041 2          no      0.258554863  Trade                           
00042 3          no      1.319971718  Trade                           
00043 4          no      1.462085287  Trade                           
00044 5          no      1.320286919  Trade                           
00045 6          no      1.703646556  Entertainment                   
00046 7          no      1.445803206  Trade                           
00047 8          no      1.8063641    Finance                         
00048 9          no      2.148120177  Business_and_Repair_Service     
00049 2          no      1.737285489  Trade                           
00050 3          no      1.989600838  Trade                           
00051 4          no      2.189916837  Trade                           
00052 5          no      1.855463217  Trade                           
00053 6          no      1.922437793  Trade                           
00054 7          yes     2.061023956  Trade                           
00055 8          yes     1.782201624  Trade                           
00056 9          yes     2.414681578  Trade                           
00057 2          no      1.208735301  Business_and_Repair_Service     
00058 3          no      1.194039663  Business_and_Repair_Service     
00059 4          no      1.170440572  Business_and_Repair_Service     
00060 5          no      1.097964499  Business_and_Repair_Service     
00061 6          no      0.765816189  Business_and_Repair_Service     
00062 7          no      1.119025979  Business_and_Repair_Service     
00063 8          no      1.11936672   Business_and_Repair_Service     
00064 9          no      0.831459508  Business_and_Repair_Service     
00065 2          no      0.502470152  Trade                           
00066 3          no      1.06491237   Professional_and_Related_Service
00067 4          no      1.189497943  Manufacturing                   
00068 5          no      1.539888529  Trade                           
00069 6          no      1.598286041  Professional_and_Related_Service
00070 7          no      1.737320692  Trade                           
00071 8          no      1.988455851  Trade                           
00072 9          no      2.158678434  Professional_and_Related_Service
00073 2          no      1.005294006  Trade                           
00074 3          no      0.937687371  Trade                           
00075 4          no      1.367487705  Trade                           
00076 5          no      1.378008782  Trade                           
00077 6          no      1.170183481  Trade                           
00078 7          no      1.728221448  Trade                           
00079 8          yes     1.70986475   Trade                           
00080 9          yes     1.851074786  Trade                           
00081 2          no      1.130545336  Trade                           
00082 3          no      0.836248024  Trade                           
00083 4          no      1.467359814  Trade                           
00084 5          no      1.071483621  Trade                           
00085 6          no      1.445919483  Trade                           
00086 7          no      1.685116348  Trade                           
00087 8          no      1.686174979  Manufacturing                   
00088 9          no      1.755130347  Manufacturing                   
00089 2          no      1.565691895  Manufacturing                   
00090 3          no      2.49387532   Manufacturing                   
00091 4          no      1.822662074  Manufacturing                   
00092 5          no      2.380336056  Manufacturing                   
00093 6          no      2.217128496  Manufacturing                   
00094 7          yes     2.272031436  Manufacturing                   
00095 8          yes     2.353798732  Manufacturing                   
00096 9          yes     2.429450034  Manufacturing                   
00097 3          no      1.918003196  Trade                           
00098 4          no      0.765407748  Trade                           
00099 5          no      1.978185438  Trade                           
00100 6          no      1.94855364   Trade                           
00101 7          no      2.037025938  Entertainment                   
00102 8          no      1.902574836  Trade                           
00103 9          no      1.972603656  Trade                           
00109 6          no      2.012861311  Manufacturing                   
00110 7          no      2.096985743  Manufacturing                   
00111 8          yes     2.14396615   Manufacturing                   
00112 9          yes     2.241284366  Manufacturing                   
00113 2          no      2.013313376  Professional_and_Related_Service
00114 3          no      1.962152455  Professional_and_Related_Service
00115 4          no      2.275641022  Professional_and_Related_Service
00116 5          yes     2.194917563  Business_and_Repair_Service     
00117 6          yes     2.428337298  Professional_and_Related_Service
00118 7          yes     2.723036943  Business_and_Repair_Service     
00119 8          yes     2.96639632   Business_and_Repair_Service     
00120 9          yes     3.065051729  Business_and_Repair_Service     
00121 4          no      1.564181321  Transportation                  
00122 5          no      1.683545885  Transportation                  
00123 6          no      1.690503365  Public_Administration           
00124 7          yes     1.660871568  Public_Administration           
00125 8          yes     1.698050571  Public_Administration           
00131 5          yes     2.042723959  Manufacturing                   
00132 6          yes     1.308155773  Manufacturing                   
00133 7          yes     1.488152246  Manufacturing                   
00134 8          yes     1.542818225  Construction                    
00135 9          yes     1.535134721  Trade                           
00136 10         yes     1.454335523  Trade                           
00137 2          no      1.629912042  Trade                           
00138 3          no      1.775113078  Trade                           
00139 4          no      1.967256367  Manufacturing                   
00140 5          yes     2.075186291  Manufacturing                   
00141 6          yes     2.128833487  Manufacturing                   
00142 7          yes     2.268419151  Manufacturing                   
00143 8          yes     1.992139096  Manufacturing                   
00144 9          yes     2.421554457  Manufacturing                   
00145 3          no      1.786075653  Business_and_Repair_Service     
00146 4          no      2.280766046  Business_and_Repair_Service     
00147 5          no      2.264266229  Business_and_Repair_Service     
00148 6          yes     2.275456426  Business_and_Repair_Service     
00149 7          yes     2.208132424  Business_and_Repair_Service     
00150 8          yes     2.199852417  Business_and_Repair_Service     
00151 9          yes     2.206899984  Business_and_Repair_Service     
00152 10         yes     2.476866911  Manufacturing                   
00153 3          no      1.643386879  Finance                         
00154 4          no      1.335580426  Finance                         
00155 5          yes     1.522817836  Finance                         
00156 6          yes     1.418851363  Finance                         
00157 7          yes     0.903927473  Finance                         
00158 8          yes     1.888564099  Transportation                  
00159 9          yes     1.783449647  Professional_and_Related_Service
00160 10         yes     1.698008355  Professional_and_Related_Service
00161 3          no      1.838197203  Manufacturing                   
00162 4          no      1.817077277  Manufacturing                   
00163 5          no      1.671740267  Trade                           
00164 6          no      1.572830501  Manufacturing                   
00165 7          no      1.682546384  Manufacturing                   
00166 8          no      1.58364022   Construction                    
00167 9          no      1.773293188  Manufacturing                   
00168 10         no      1.861078925  Business_and_Repair_Service     
00169 2          no      1.462888179  Manufacturing                   
00170 3          no      1.570217199  Manufacturing                   
00171 4          no      1.656601814  Manufacturing                   
00172 5          no      1.725410089  Manufacturing                   
00173 6          no      1.772158543  Manufacturing                   
00174 7          no      2.011084234  Manufacturing                   
00175 8          no      1.991016671  Manufacturing                   
00176 9          no      1.952050703  Manufacturing                   
00177 2          no      1.652094923  Manufacturing                   
00178 3          yes     1.489534984  Manufacturing                   
00179 4          yes     1.881175701  Manufacturing                   
00180 5          yes     2.061031623  Manufacturing                   
00181 6          yes     2.488836221  Manufacturing                   
00182 7          yes     2.43093808   Manufacturing                   
00183 8          yes     2.534560387  Manufacturing                   
00184 9          yes     2.069602509  Manufacturing                   
00185 5          yes     2.16583936   Manufacturing                   
00186 6          yes     2.325399771  Manufacturing                   
00187 7          yes     2.383650546  Manufacturing                   
00188 8          yes     2.33721163   Manufacturing                   
00189 9          yes     2.412507538  Manufacturing                   
00190 10         yes     2.384145919  Manufacturing                   
00191 11         yes     2.352030017  Manufacturing                   
00192 12         yes     2.577756603  Manufacturing                   
00193 2          no      0.972626255  Trade                           
00194 3          no      1.0031045    Trade                           
00195 4          yes     1.099635034  Trade                           
00196 5          yes     1.214584465  Trade                           
00197 6          yes     1.319241762  Trade                           
00198 7          yes     1.389742483  Trade                           
00199 8          yes     1.573538012  Trade                           
00200 9          yes     1.900699718  Trade                           
00201 5          no      1.682627076  Manufacturing                   
00202 6          no      1.661706341  Manufacturing                   
00203 7          no      1.755041886  Manufacturing                   
00204 8          no      1.753450749  Manufacturing                   
00205 9          no      1.618007863  Manufacturing                   
00206 10         no      1.648178741  Manufacturing                   
00207 11         no      1.745894213  Manufacturing                   
00208 12         no      1.727081895  Manufacturing                   
00209 2          no      1.939345469  Trade                           
00210 3          no      2.120263536  Transportation                  
00211 4          no      2.160506994  Transportation                  
00212 5          no      2.489254115  Transportation                  
00213 6          no      2.375693565  Transportation                  
00219 4          no      0.9688702    Transportation                  
00220 5          no      1.16359891   Trade                           
00221 6          no      1.356619061  Entertainment                   
00222 7          no      1.41625335   Business_and_Repair_Service     
00223 8          no      1.214983197  Transportation                  
00224 9          no      1.639359464  Entertainment                   
00225 2          no      0.683725042  Trade                           
00226 3          no      1.078989018  Trade                           
00227 4          no      0.839635719  Trade                           
00228 5          no      1.507569032  Trade                           
00229 6          no      1.020651747  Manufacturing                   
00230 7          no      0.542597783  Trade                           
00236 7          no      2.194788523  Manufacturing                   
00237 8          yes     2.083836121  Manufacturing                   
00238 9          yes     1.918448185  Manufacturing                   
00239 10         yes     2.156713633  Manufacturing                   
00240 11         no      1.985040866  Manufacturing                   
00241 2          no      1.396706272  Manufacturing                   
00242 3          yes     1.519825754  Manufacturing                   
00243 4          yes     1.509152973  Manufacturing                   
00244 5          yes     1.645041618  Manufacturing                   
00245 6          no      1.549014992  Manufacturing                   
00246 7          yes     1.826956289  Manufacturing                   
00247 8          yes     1.883680399  Public_Administration           
00248 9          yes     2.023660702  Public_Administration           
00249 4          no      1.73141724   Manufacturing                   
00250 5          no      1.813758952  Manufacturing                   
00251 6          no      1.70004831   Manufacturing                   
00252 7          no      1.939648862  Manufacturing                   
00253 8          no      1.935752711  Manufacturing                   
00254 9          no      2.099785005  Manufacturing                   
00255 10         no      2.192046627  Manufacturing                   
00256 11         no      2.005143046  Trade                           
00257 2          no      2.821782654  Manufacturing                   
00258 3          no      2.179982771  Manufacturing                   
00259 4          yes     2.309426625  Manufacturing                   
00260 5          yes     2.25132135   Manufacturing                   
00261 6          yes     2.352296987  Manufacturing                   
00262 7          yes     2.313848285  Manufacturing                   
00263 8          yes     2.253419999  Manufacturing                   
00264 9          yes     2.405352483  Trade                           
00265 2          no      1.232024505  Trade                           
00266 3          no      1.366491734  Trade                           
00267 4          no      1.690503365  Trade                           
00268 5          no      1.660871568  Trade                           
00269 6          no      1.555876082  Trade                           
00270 7          no      -0.714125587 Trade                           
00271 8          no      1.468481032  Trade                           
00272 9          no      0.513005776  Trade                           
00273 2          yes     1.959579623  Construction                    
00274 3          no      1.893339262  Construction                    
00275 4          yes     3.096215812  Construction                    
00276 5          yes     1.910813312  Construction                    
00277 6          yes     1.615264377  Manufacturing                   
00278 7          yes     2.076528143  Manufacturing                   
00279 8          yes     2.107539947  Trade                           
00280 9          yes     2.155585356  Manufacturing                   
00281 4          no      1.655638931  Trade                           
00282 5          yes     1.464255903  Agricultural                    
00283 6          yes     1.007827485  Agricultural                    
00284 7          yes     1.47794923   Agricultural                    
00285 8          yes     0.618720212  Manufacturing                   
00286 9          no      2.225624052  Agricultural                    
00287 10         no      2.657730595  Personal_Service                
00288 11         no      2.139191546  Manufacturing                   
00289 3          no      1.497270616  Manufacturing                   
00290 4          no      1.601715866  Manufacturing                   
00291 5          no      1.504842907  Manufacturing                   
00292 6          no      1.798046799  Manufacturing                   
00293 7          no      1.652890175  Manufacturing                   
00294 8          no      1.763385361  Manufacturing                   
00295 9          no      1.722681986  Manufacturing                   
00296 10         no      1.762060594  Manufacturing                   
00297 2          no      0.891528435  Personal_Service                
00298 3          no      1.931021537  Personal_Service                
